"id","sourceSystem","repository","collectionId","parentId","level","title","createdDate","uniqueIdentifier","dimensions","languages","subjects","copyrightStatus","copyrightStatement","linkToSource","access","format","dedication","description","modifiedDate","thumbnail","filePath","sequence","collectionInformation","fileId","mimeType","workType","medium","creators","width","height","md5Checksum","creationPlace"
"BOO_004476467_024.tif","Aleph","HESB","004476467","004476467","file","024","","","","","","","","","","","","","2020-04-28T21:09:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_024.tif","23","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","edf181634d9e48c8beb78d2b4114a4db-1",""
"BOO_004476467_025.tif","Aleph","HESB","004476467","004476467","file","025","","","","","","","","","","","","","2020-04-28T21:09:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_025.tif","24","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","b86b28d2faf4c07b1a1fabb8aada3e32-1",""
"BOO_004476467_026.tif","Aleph","HESB","004476467","004476467","file","026","","","","","","","","","","","","","2020-04-28T21:09:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_026.tif","25","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","ab953dc25d22c70c04550436597b57cf-1",""
"BOO_004476467_027.tif","Aleph","HESB","004476467","004476467","file","027","","","","","","","","","","","","","2020-04-28T21:10:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_027.tif","26","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","bea3ef19ea26d8d607a6e398f15410ce-1",""
"BOO_004476467_028.tif","Aleph","HESB","004476467","004476467","file","028","","","","","","","","","","","","","2020-04-28T21:10:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_028.tif","27","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","568e0c0945091e6d6180f71877fbb15b-1",""
"BOO_004476467_029.tif","Aleph","HESB","004476467","004476467","file","029","","","","","","","","","","","","","2020-04-28T21:10:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_029.tif","28","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","498c30902b18669bc90494c702d5f1d8-1",""
"BOO_004476467_030.tif","Aleph","HESB","004476467","004476467","file","030","","","","","","","","","","","","","2020-04-28T21:10:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_030.tif","29","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","4b96acd96c79acd06c889ad92eac408d-1",""
"BOO_004476467_031.tif","Aleph","HESB","004476467","004476467","file","031","","","","","","","","","","","","","2020-04-28T21:11:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_031.tif","30","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","dec26b01f819a5ad19a66451bd4aac70-1",""
"BOO_004476467_032.tif","Aleph","HESB","004476467","004476467","file","032","","","","","","","","","","","","","2020-04-28T21:11:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_032.tif","31","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","b971e143ea79a85b900030b694ae6787-1",""
"BOO_004476467_033.tif","Aleph","HESB","004476467","004476467","file","033","","","","","","","","","","","","","2020-04-28T21:11:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_033.tif","32","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","931332270c91eef5a83568070abdca4f-1",""
"BOO_004476467_034.tif","Aleph","HESB","004476467","004476467","file","034","","","","","","","","","","","","","2020-04-28T21:11:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_034.tif","33","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","98f7603f6e7877c3776c1963c7489c79-1",""
