sourceSystem,repository,collectionId,parentId,id,level,title,creator,dateCreated,uniqueIdentifier,dimensions,languages,subjects,usage,license,linkToSource,access,format,dedication,description,modifiedDate,thumbnail,filePath,fileId,sequence,collectionInformation,creators,fileInfo
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.b.150.jpg,file,b 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.b.150.jpg,,1,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.b.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""3e86d97289ea1b1ab0cec78b0fa2dacb-1""', 'Size': 269057, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'b 150 jpg', 'Order': 1, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.b.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.c.150.jpg,file,c 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.c.150.jpg,,2,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.c.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""235b2b8a7c379f7be4c3769cd0130241-1""', 'Size': 271759, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'c 150 jpg', 'Order': 2, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.c.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.d.150.jpg,file,d 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.d.150.jpg,,3,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.d.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""f29459f457501907dd990f10b75ab250-1""', 'Size': 253908, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'd 150 jpg', 'Order': 3, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.d.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.e.150.jpg,file,e 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.e.150.jpg,,4,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.e.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""e7052557cda712015589357898c85e1b-1""', 'Size': 261436, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'e 150 jpg', 'Order': 4, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.e.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.f.150.jpg,file,f 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.f.150.jpg,,5,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.f.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""d22a767b2e18e240f2b0451f99388f74-1""', 'Size': 268145, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'f 150 jpg', 'Order': 5, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.f.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.g.150.jpg,file,g 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.g.150.jpg,,6,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.g.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""6704bfaddb3c578b9e22b9e2af6b683a-1""', 'Size': 256703, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'g 150 jpg', 'Order': 6, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.g.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.h.150.jpg,file,h 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.h.150.jpg,,7,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.h.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""eabb9b71d66c04a7f4c8006b0405a5a6-1""', 'Size': 258918, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'h 150 jpg', 'Order': 7, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.h.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.i.150.jpg,file,i 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:36,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.i.150.jpg,,8,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.i.150.jpg', 'LastModified': '2018-12-11 16:01:36', 'ETag': '""7a4358d8b8c964478120f6ea8b51f4c2-1""', 'Size': 247605, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'i 150 jpg', 'Order': 8, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.i.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.j.150.jpg,file,j 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:36,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.j.150.jpg,,9,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.j.150.jpg', 'LastModified': '2018-12-11 16:01:36', 'ETag': '""401853ba5885a26693c5de24950a4c89-1""', 'Size': 251164, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'j 150 jpg', 'Order': 9, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.j.150.jpg'}"
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.k.150.jpg,file,k 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:36,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.k.150.jpg,,10,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.k.150.jpg', 'LastModified': '2018-12-11 16:01:36', 'ETag': '""1133dbcb5498d44e33fdaf6e2a6c8814-1""', 'Size': 234661, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'k 150 jpg', 'Order': 10, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.k.150.jpg'}"
